timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2025-11-01T06:25:30,18.2,0.8,6.626,18.2,0.8,6.626,17.6,1.5,9.035,-1.0,0.0,1.323
2025-11-02T06:28:30,17.6,2.3,6.043,-1.0,0.0,2.132,17.6,2.3,6.043,18.6,1.0,6.137
2025-11-03T07:29:30,18.4,1.2,9.703,18.4,1.2,9.703,17.8,2.0,8.474,-1.0,0.0,1.628
2025-11-04T07:37:30,18.0,1.0,7.302,18.0,1.0,7.302,17.2,2.1,10.863,16.6,1.0,3.924
2025-11-05T06:48:30,17.8,1.2,11.75,17.8,1.2,11.75,17.4,1.3,7.672,17.8,0.5,2.655
2025-11-05T08:37:30,17.8,1.2,13.135,17.8,1.2,13.135,17.2,1.6,10.06,17.0,1.6,3.504
2025-11-06T07:38:30,18.4,1.6,10.661,18.4,1.6,10.661,18.2,1.5,8.407,-1.0,0.0,1.882
2025-11-07T08:28:00,18.8,1.1,12.552,18.8,1.1,12.552,18.4,1.4,7.871,-1.0,0.0,1.653
2025-11-08T07:29:00,18.0,1.0,9.947,18.0,1.0,9.947,17.0,1.7,8.592,-1.0,0.0,2.048
2025-11-09T06:48:00,16.6,1.7,10.133,16.6,1.7,10.133,16.6,1.1,15.425,-1.0,0.0,2.342
2025-11-10T07:21:30,16.8,1.1,12.618,16.8,1.1,12.618,16.6,1.5,13.545,15.0,1.3,3.266
2025-11-10T08:54:00,17.0,1.2,12.956,17.0,1.2,12.956,16.6,1.6,16.731,15.0,1.3,3.266
2025-11-11T04:18:30,17.2,1.7,4.769,17.2,1.7,4.769,17.2,1.6,8.455,-1.0,0.0,2.078
2025-11-11T07:47:30,17.4,1.6,11.359,17.4,1.6,11.359,16.8,1.6,10.669,16.6,1.1,3.404
2025-11-12T07:42:30,17.2,1.3,12.056,17.2,1.3,12.056,16.4,1.5,8.835,-1.0,0.0,2.332
2025-11-13T07:12:00,18.2,0.9,10.735,18.2,0.9,10.735,17.4,1.3,10.449,16.8,2.7,4.804
2025-11-15T08:04:30,18.6,1.4,10.936,18.6,1.4,10.936,16.8,1.6,7.817,16.4,0.8,3.362
2025-11-16T07:54:30,18.0,1.4,7.098,18.0,1.4,7.098,17.2,1.8,16.576,-1.0,0.0,2.358
2025-11-17T07:52:30,16.6,0.9,10.885,16.6,0.9,10.885,16.4,1.4,11.132,-1.0,0.0,2.222
2025-11-18T07:36:00,17.4,0.9,8.559,17.4,0.9,8.559,16.8,1.6,10.477,16.4,1.1,3.933
2025-11-19T08:23:00,17.2,1.3,11.066,17.2,1.3,11.066,17.0,1.5,8.517,16.8,1.5,4.405
2025-11-20T07:32:30,17.8,1.4,6.654,17.8,1.4,6.654,17.2,1.4,8.53,-1.0,0.0,1.702
2025-11-21T09:34:30,17.4,1.1,7.397,17.4,1.1,7.397,16.6,1.6,6.88,-1.0,0.0,2.3
2025-11-22T10:31:30,19.8,0.7,5.723,19.8,0.7,5.723,-1.0,0.0,1.816,19.0,1.1,3.529
2025-11-23T10:45:30,16.6,2.5,7.827,16.6,0.6,3.275,16.6,2.5,7.827,18.6,1.0,4.43
2025-11-24T08:51:00,17.6,0.9,9.72,17.6,0.9,9.72,17.4,1.7,13.415,-1.0,0.0,2.431
2025-11-25T07:20:00,18.6,1.2,11.459,18.6,1.2,11.459,17.6,1.7,9.792,-1.0,0.0,2.073
2025-11-26T06:45:00,18.0,1.0,10.668,18.0,1.0,10.668,18.0,1.7,17.587,-1.0,0.0,1.839
2025-11-27T07:47:30,18.4,1.2,11.441,18.4,1.2,11.441,17.6,1.6,14.026,16.8,0.6,3.178
2025-11-28T08:17:00,18.0,0.9,12.427,18.0,0.9,12.427,17.6,2.1,6.628,-1.0,0.0,1.434
2025-11-29T07:54:30,18.0,1.6,10.645,18.0,1.6,10.645,17.4,2.1,12.488,18.4,1.4,6.525